[gpu_lock] train_qg: acquired after 0.0 min
Loaded 2628 frame triplets for train
Loaded 329 frame triplets for val
Train: 2628  Val: 329
Params: 2,678,003
Logging to qg_conv_lstm_fixed2_train.log
epoch  40  loss=0.00025  in=37.139  enh=37.761  ΔY=+0.4902  ΔU=+1.1186  ΔV=+0.9682  lr=1.0e-04  (224s)
epoch  41  loss=0.00025  in=36.947  enh=37.596  ΔY=+0.4986  ΔU=+1.2321  ΔV=+1.0493  lr=1.0e-04  (227s)
epoch  42  loss=0.00025  in=37.037  enh=37.706  ΔY=+0.5151  ΔU=+1.3032  ΔV=+1.0265  lr=1.0e-04  (221s)
epoch  43  loss=0.00025  in=37.033  enh=37.652  ΔY=+0.5025  ΔU=+0.9742  ΔV=+0.9937  lr=1.0e-04  (220s)
epoch  44  loss=0.00025  in=37.126  enh=37.804  ΔY=+0.5324  ΔU=+1.2578  ΔV=+1.0732  lr=1.0e-04  (228s)
epoch  45  loss=0.00025  in=37.196  enh=37.872  ΔY=+0.5361  ΔU=+1.1862  ΔV=+1.0716  lr=1.0e-04  (300s)
epoch  46  loss=0.00025  in=36.975  enh=37.669  ΔY=+0.5408  ΔU=+1.3108  ΔV=+1.0963  lr=1.0e-04  (194s)
epoch  47  loss=0.00025  in=37.108  enh=37.820  ΔY=+0.5497  ΔU=+1.3412  ΔV=+1.1203  lr=1.0e-04  (196s)
epoch  48  loss=0.00025  in=37.175  enh=37.876  ΔY=+0.5583  ΔU=+1.2952  ΔV=+1.0162  lr=1.0e-04  (198s)
epoch  49  loss=0.00025  in=37.240  enh=37.900  ΔY=+0.5188  ΔU=+1.2079  ΔV=+0.9934  lr=1.0e-05  (194s)
epoch  50  loss=0.00025  in=37.060  enh=37.866  ΔY=+0.6213  ΔU=+1.5101  ΔV=+1.3499  lr=1.0e-05  (165s)
epoch  51  loss=0.00025  in=37.122  enh=37.923  ΔY=+0.6140  ΔU=+1.5290  ΔV=+1.3499  lr=1.0e-05  (157s)
epoch  52  loss=0.00024  in=37.165  enh=37.964  ΔY=+0.6060  ΔU=+1.5311  ΔV=+1.4078  lr=1.0e-05  (159s)
epoch  53  loss=0.00024  in=37.154  enh=37.983  ΔY=+0.6278  ΔU=+1.6110  ΔV=+1.4246  lr=1.0e-05  (159s)
epoch  54  loss=0.00024  in=37.017  enh=37.834  ΔY=+0.6287  ΔU=+1.5165  ΔV=+1.3714  lr=1.0e-05  (157s)
epoch  55  loss=0.00024  in=37.262  enh=38.070  ΔY=+0.6126  ΔU=+1.5667  ΔV=+1.3724  lr=1.0e-05  (160s)
epoch  56  loss=0.00024  in=37.145  enh=37.972  ΔY=+0.6352  ΔU=+1.5846  ΔV=+1.3830  lr=1.0e-05  (158s)
epoch  57  loss=0.00025  in=37.149  enh=37.967  ΔY=+0.6250  ΔU=+1.5570  ΔV=+1.3761  lr=1.0e-05  (158s)
epoch  58  loss=0.00025  in=37.133  enh=37.952  ΔY=+0.6233  ΔU=+1.5583  ΔV=+1.3897  lr=1.0e-05  (159s)
epoch  59  loss=0.00024  in=37.274  enh=38.096  ΔY=+0.6204  ΔU=+1.6097  ΔV=+1.3931  lr=1.0e-05  (158s)
  saved checkpoints/qg_conv_lstm_fixed2_epoch_60.pt
epoch  60  loss=0.00024  in=37.037  enh=37.868  ΔY=+0.6240  ΔU=+1.6243  ΔV=+1.4764  lr=1.0e-05  (157s)
epoch  61  loss=0.00024  in=37.333  enh=38.163  ΔY=+0.6344  ΔU=+1.5980  ΔV=+1.4083  lr=1.0e-05  (160s)
epoch  62  loss=0.00024  in=37.174  enh=38.016  ΔY=+0.6411  ΔU=+1.6286  ΔV=+1.4282  lr=1.0e-05  (157s)
epoch  63  loss=0.00024  in=37.196  enh=38.030  ΔY=+0.6420  ΔU=+1.5678  ΔV=+1.4133  lr=1.0e-05  (158s)
epoch  64  loss=0.00024  in=37.109  enh=37.950  ΔY=+0.6343  ΔU=+1.6766  ΔV=+1.4320  lr=1.0e-05  (159s)
epoch  65  loss=0.00024  in=37.261  enh=38.068  ΔY=+0.6208  ΔU=+1.5106  ΔV=+1.4034  lr=1.0e-05  (157s)
epoch  66  loss=0.00024  in=37.220  enh=38.050  ΔY=+0.6383  ΔU=+1.5812  ΔV=+1.3877  lr=1.0e-05  (160s)
epoch  67  loss=0.00025  in=37.280  enh=38.121  ΔY=+0.6428  ΔU=+1.5851  ΔV=+1.4416  lr=1.0e-05  (158s)
epoch  68  loss=0.00024  in=37.003  enh=37.839  ΔY=+0.6351  ΔU=+1.5964  ΔV=+1.4571  lr=1.0e-05  (157s)
epoch  69  loss=0.00024  in=36.995  enh=37.829  ΔY=+0.6414  ΔU=+1.5733  ΔV=+1.4388  lr=1.0e-05  (159s)
epoch  70  loss=0.00024  in=37.307  enh=38.151  ΔY=+0.6424  ΔU=+1.6392  ΔV=+1.4510  lr=1.0e-05  (158s)
epoch  71  loss=0.00024  in=37.117  enh=37.957  ΔY=+0.6360  ΔU=+1.6323  ΔV=+1.4672  lr=1.0e-05  (157s)
epoch  72  loss=0.00024  in=37.189  enh=38.017  ΔY=+0.6303  ΔU=+1.5817  ΔV=+1.4112  lr=1.0e-05  (159s)
epoch  73  loss=0.00024  in=37.121  enh=37.973  ΔY=+0.6473  ΔU=+1.6308  ΔV=+1.4716  lr=1.0e-05  (157s)
epoch  74  loss=0.00024  in=37.080  enh=37.922  ΔY=+0.6431  ΔU=+1.6045  ΔV=+1.4495  lr=1.0e-05  (158s)
epoch  75  loss=0.00024  in=37.201  enh=38.019  ΔY=+0.6219  ΔU=+1.5425  ΔV=+1.3977  lr=1.0e-05  (159s)
epoch  76  loss=0.00024  in=37.119  enh=37.977  ΔY=+0.6594  ΔU=+1.6219  ΔV=+1.4946  lr=1.0e-05  (156s)
epoch  77  loss=0.00024  in=37.357  enh=38.205  ΔY=+0.6544  ΔU=+1.6190  ΔV=+1.4447  lr=1.0e-05  (160s)
epoch  78  loss=0.00024  in=37.200  enh=38.045  ΔY=+0.6439  ΔU=+1.6429  ΔV=+1.4328  lr=1.0e-05  (159s)
epoch  79  loss=0.00024  in=37.109  enh=37.967  ΔY=+0.6516  ΔU=+1.6570  ΔV=+1.4736  lr=1.0e-05  (157s)
  saved checkpoints/qg_conv_lstm_fixed2_epoch_80.pt
epoch  80  loss=0.00024  in=36.954  enh=37.811  ΔY=+0.6598  ΔU=+1.6008  ΔV=+1.4372  lr=1.0e-05  (159s)
epoch  81  loss=0.00024  in=37.230  enh=38.069  ΔY=+0.6365  ΔU=+1.6167  ΔV=+1.4157  lr=1.0e-05  (163s)
epoch  82  loss=0.00024  in=37.142  enh=37.993  ΔY=+0.6664  ΔU=+1.5709  ΔV=+1.4143  lr=1.0e-05  (157s)
