epoch  42  loss=0.00030  in=37.082  enh=37.085  ΔY=+0.0003  ΔU=+0.0050  ΔV=+0.0166  lr=1.0e-04  (72s)
epoch  43  loss=0.00030  in=37.096  enh=37.097  ΔY=+0.0002  ΔU=+0.0018  ΔV=+0.0076  lr=1.0e-04  (68s)
epoch  44  loss=0.00030  in=37.043  enh=37.045  ΔY=+0.0005  ΔU=+0.0093  ΔV=+0.0124  lr=1.0e-04  (69s)
epoch  45  loss=0.00030  in=37.137  enh=37.139  ΔY=-0.0018  ΔU=+0.0110  ΔV=+0.0151  lr=1.0e-04  (69s)
epoch  46  loss=0.00030  in=37.058  enh=37.059  ΔY=-0.0000  ΔU=+0.0062  ΔV=+0.0019  lr=1.0e-04  (72s)
epoch  47  loss=0.00030  in=37.114  enh=37.115  ΔY=+0.0002  ΔU=+0.0033  ΔV=+0.0122  lr=1.0e-04  (73s)
epoch  48  loss=0.00030  in=37.081  enh=37.083  ΔY=+0.0001  ΔU=+0.0101  ΔV=+0.0085  lr=1.0e-04  (67s)
epoch  49  loss=0.00030  in=37.065  enh=37.066  ΔY=-0.0008  ΔU=+0.0005  ΔV=+0.0021  lr=1.0e-05  (66s)
epoch  50  loss=0.00030  in=36.949  enh=36.950  ΔY=+0.0001  ΔU=+0.0028  ΔV=+0.0064  lr=1.0e-05  (65s)
epoch  51  loss=0.00029  in=37.121  enh=37.124  ΔY=+0.0001  ΔU=+0.0114  ΔV=+0.0176  lr=1.0e-05  (71s)
epoch  52  loss=0.00030  in=37.128  enh=37.130  ΔY=+0.0003  ΔU=+0.0086  ΔV=+0.0140  lr=1.0e-05  (65s)
epoch  53  loss=0.00030  in=37.130  enh=37.133  ΔY=+0.0002  ΔU=+0.0066  ΔV=+0.0112  lr=1.0e-05  (63s)
epoch  54  loss=0.00030  in=37.111  enh=37.114  ΔY=+0.0006  ΔU=+0.0085  ΔV=+0.0181  lr=1.0e-05  (71s)
epoch  55  loss=0.00030  in=36.999  enh=37.003  ΔY=+0.0003  ΔU=+0.0069  ΔV=+0.0252  lr=1.0e-05  (70s)
epoch  56  loss=0.00030  in=37.073  enh=37.075  ΔY=+0.0002  ΔU=+0.0069  ΔV=+0.0142  lr=1.0e-05  (68s)
epoch  57  loss=0.00030  in=37.129  enh=37.132  ΔY=+0.0000  ΔU=+0.0085  ΔV=+0.0255  lr=1.0e-05  (66s)
epoch  58  loss=0.00030  in=37.142  enh=37.145  ΔY=+0.0004  ΔU=+0.0036  ΔV=+0.0252  lr=1.0e-05  (67s)
epoch  59  loss=0.00030  in=37.179  enh=37.181  ΔY=+0.0001  ΔU=+0.0081  ΔV=+0.0184  lr=1.0e-05  (66s)
epoch  60  loss=0.00030  in=37.229  enh=37.230  ΔY=+0.0002  ΔU=+0.0005  ΔV=+0.0085  lr=1.0e-05  (72s)
epoch  61  loss=0.00030  in=37.225  enh=37.227  ΔY=+0.0000  ΔU=+0.0088  ΔV=+0.0145  lr=1.0e-05  (67s)
epoch  62  loss=0.00030  in=37.035  enh=37.037  ΔY=+0.0003  ΔU=+0.0108  ΔV=+0.0063  lr=1.0e-05  (67s)
epoch  63  loss=0.00030  in=37.152  enh=37.156  ΔY=+0.0003  ΔU=+0.0082  ΔV=+0.0212  lr=1.0e-05  (71s)
epoch  64  loss=0.00030  in=37.211  enh=37.214  ΔY=+0.0001  ΔU=+0.0087  ΔV=+0.0280  lr=1.0e-05  (70s)
epoch  65  loss=0.00030  in=37.054  enh=37.056  ΔY=+0.0001  ΔU=+0.0086  ΔV=-0.0039  lr=1.0e-05  (67s)
epoch  66  loss=0.00030  in=37.219  enh=37.222  ΔY=-0.0000  ΔU=+0.0025  ΔV=+0.0172  lr=1.0e-05  (70s)
epoch  67  loss=0.00030  in=36.924  enh=36.927  ΔY=+0.0002  ΔU=+0.0082  ΔV=+0.0158  lr=1.0e-05  (71s)
epoch  68  loss=0.00030  in=37.215  enh=37.218  ΔY=+0.0005  ΔU=+0.0060  ΔV=+0.0199  lr=1.0e-05  (70s)
epoch  69  loss=0.00030  in=37.265  enh=37.268  ΔY=+0.0002  ΔU=+0.0119  ΔV=+0.0120  lr=1.0e-05  (71s)
epoch  70  loss=0.00030  in=36.864  enh=36.867  ΔY=+0.0001  ΔU=+0.0088  ΔV=+0.0126  lr=1.0e-05  (68s)
epoch  71  loss=0.00030  in=37.188  enh=37.191  ΔY=+0.0003  ΔU=+0.0068  ΔV=+0.0157  lr=1.0e-05  (67s)
epoch  72  loss=0.00030  in=37.152  enh=37.155  ΔY=+0.0001  ΔU=+0.0087  ΔV=+0.0175  lr=1.0e-05  (72s)
epoch  73  loss=0.00030  in=37.015  enh=37.017  ΔY=+0.0003  ΔU=+0.0049  ΔV=+0.0202  lr=1.0e-05  (68s)
epoch  74  loss=0.00030  in=37.113  enh=37.113  ΔY=+0.0001  ΔU=+0.0101  ΔV=-0.0023  lr=1.0e-05  (68s)
epoch  75  loss=0.00030  in=37.130  enh=37.133  ΔY=+0.0002  ΔU=+0.0084  ΔV=+0.0125  lr=1.0e-05  (67s)
epoch  76  loss=0.00030  in=37.028  enh=37.031  ΔY=+0.0003  ΔU=+0.0093  ΔV=+0.0110  lr=1.0e-05  (71s)
epoch  77  loss=0.00030  in=36.989  enh=36.993  ΔY=+0.0007  ΔU=+0.0043  ΔV=+0.0194  lr=1.0e-05  (70s)
epoch  78  loss=0.00030  in=37.108  enh=37.111  ΔY=+0.0002  ΔU=+0.0083  ΔV=+0.0123  lr=1.0e-05  (70s)
epoch  79  loss=0.00030  in=37.333  enh=37.336  ΔY=+0.0002  ΔU=+0.0074  ΔV=+0.0160  lr=1.0e-05  (61s)
epoch  80  loss=0.00030  in=37.005  enh=37.008  ΔY=+0.0001  ΔU=+0.0120  ΔV=+0.0137  lr=1.0e-05  (62s)
epoch  81  loss=0.00030  in=36.884  enh=36.886  ΔY=+0.0001  ΔU=+0.0032  ΔV=+0.0195  lr=1.0e-05  (63s)
epoch  82  loss=0.00030  in=37.024  enh=37.026  ΔY=+0.0003  ΔU=+0.0067  ΔV=+0.0119  lr=1.0e-05  (62s)
epoch  83  loss=0.00029  in=37.168  enh=37.171  ΔY=+0.0001  ΔU=+0.0006  ΔV=+0.0174  lr=1.0e-05  (64s)
epoch  84  loss=0.00030  in=37.175  enh=37.178  ΔY=+0.0002  ΔU=+0.0010  ΔV=+0.0136  lr=1.0e-05  (61s)
epoch  85  loss=0.00030  in=37.131  enh=37.135  ΔY=+0.0003  ΔU=+0.0100  ΔV=+0.0195  lr=1.0e-05  (61s)
epoch  86  loss=0.00030  in=37.135  enh=37.139  ΔY=+0.0002  ΔU=+0.0093  ΔV=+0.0246  lr=1.0e-05  (61s)
epoch  87  loss=0.00030  in=37.053  enh=37.055  ΔY=+0.0000  ΔU=+0.0076  ΔV=+0.0092  lr=1.0e-05  (63s)
epoch  88  loss=0.00030  in=37.090  enh=37.092  ΔY=+0.0000  ΔU=+0.0090  ΔV=+0.0035  lr=1.0e-05  (61s)
epoch  89  loss=0.00030  in=37.146  enh=37.149  ΔY=+0.0002  ΔU=+0.0093  ΔV=+0.0146  lr=1.0e-05  (61s)
epoch  90  loss=0.00030  in=37.228  enh=37.230  ΔY=+0.0004  ΔU=+0.0089  ΔV=+0.0118  lr=1.0e-05  (62s)
epoch  91  loss=0.00030  in=37.000  enh=37.003  ΔY=+0.0001  ΔU=+0.0099  ΔV=+0.0164  lr=1.0e-05  (60s)
epoch  92  loss=0.00030  in=37.155  enh=37.157  ΔY=+0.0004  ΔU=+0.0030  ΔV=+0.0063  lr=1.0e-05  (59s)
epoch  93  loss=0.00030  in=37.116  enh=37.120  ΔY=+0.0002  ΔU=+0.0170  ΔV=+0.0182  lr=1.0e-05  (59s)
epoch  94  loss=0.00030  in=37.049  enh=37.052  ΔY=+0.0003  ΔU=+0.0067  ΔV=+0.0090  lr=1.0e-05  (60s)
epoch  95  loss=0.00030  in=36.890  enh=36.893  ΔY=+0.0006  ΔU=+0.0042  ΔV=+0.0150  lr=1.0e-05  (59s)
epoch  96  loss=0.00030  in=36.901  enh=36.905  ΔY=+0.0001  ΔU=+0.0084  ΔV=+0.0212  lr=1.0e-05  (58s)
epoch  97  loss=0.00030  in=37.073  enh=37.076  ΔY=+0.0004  ΔU=+0.0115  ΔV=+0.0083  lr=1.0e-05  (56s)
epoch  98  loss=0.00030  in=37.069  enh=37.071  ΔY=+0.0001  ΔU=+0.0061  ΔV=+0.0156  lr=1.0e-05  (61s)
epoch  99  loss=0.00030  in=37.218  enh=37.221  ΔY=+0.0003  ΔU=+0.0034  ΔV=+0.0199  lr=1.0e-06  (62s)
epoch 100  loss=0.00030  in=37.268  enh=37.272  ΔY=+0.0004  ΔU=+0.0123  ΔV=+0.0199  lr=1.0e-06  (58s)
epoch 101  loss=0.00030  in=37.231  enh=37.234  ΔY=+0.0005  ΔU=+0.0045  ΔV=+0.0162  lr=1.0e-06  (60s)
epoch 102  loss=0.00030  in=37.248  enh=37.251  ΔY=+0.0004  ΔU=+0.0051  ΔV=+0.0149  lr=1.0e-06  (60s)
epoch 103  loss=0.00030  in=37.228  enh=37.231  ΔY=+0.0000  ΔU=+0.0083  ΔV=+0.0177  lr=1.0e-06  (60s)
epoch 104  loss=0.00030  in=36.921  enh=36.923  ΔY=+0.0001  ΔU=+0.0021  ΔV=+0.0108  lr=1.0e-06  (59s)
epoch 105  loss=0.00030  in=37.081  enh=37.084  ΔY=+0.0002  ΔU=+0.0045  ΔV=+0.0242  lr=1.0e-06  (61s)
epoch 106  loss=0.00030  in=36.994  enh=36.995  ΔY=+0.0000  ΔU=+0.0056  ΔV=+0.0038  lr=1.0e-06  (59s)
epoch 107  loss=0.00030  in=37.363  enh=37.365  ΔY=+0.0005  ΔU=+0.0031  ΔV=+0.0120  lr=1.0e-06  (63s)
epoch 108  loss=0.00030  in=37.134  enh=37.137  ΔY=-0.0000  ΔU=+0.0098  ΔV=+0.0144  lr=1.0e-06  (61s)
epoch 109  loss=0.00030  in=37.021  enh=37.023  ΔY=+0.0004  ΔU=-0.0016  ΔV=+0.0178  lr=1.0e-06  (60s)
epoch 110  loss=0.00030  in=37.026  enh=37.027  ΔY=+0.0004  ΔU=+0.0051  ΔV=+0.0087  lr=1.0e-06  (61s)
epoch 111  loss=0.00030  in=36.970  enh=36.972  ΔY=+0.0001  ΔU=+0.0088  ΔV=+0.0038  lr=1.0e-06  (62s)
epoch 112  loss=0.00030  in=37.256  enh=37.258  ΔY=+0.0003  ΔU=+0.0033  ΔV=+0.0119  lr=1.0e-06  (57s)
epoch 113  loss=0.00030  in=37.201  enh=37.204  ΔY=+0.0005  ΔU=-0.0004  ΔV=+0.0180  lr=1.0e-06  (59s)
epoch 114  loss=0.00030  in=37.112  enh=37.116  ΔY=+0.0004  ΔU=+0.0106  ΔV=+0.0097  lr=1.0e-06  (59s)
epoch 115  loss=0.00030  in=37.298  enh=37.301  ΔY=+0.0004  ΔU=+0.0083  ΔV=+0.0103  lr=1.0e-06  (61s)
epoch 116  loss=0.00030  in=37.119  enh=37.122  ΔY=+0.0003  ΔU=+0.0109  ΔV=+0.0171  lr=1.0e-06  (61s)
epoch 117  loss=0.00030  in=37.324  enh=37.326  ΔY=+0.0003  ΔU=+0.0123  ΔV=+0.0125  lr=1.0e-06  (59s)
epoch 118  loss=0.00030  in=37.195  enh=37.197  ΔY=+0.0001  ΔU=+0.0122  ΔV=+0.0069  lr=1.0e-06  (62s)
epoch 119  loss=0.00030  in=36.894  enh=36.897  ΔY=+0.0002  ΔU=+0.0154  ΔV=+0.0151  lr=1.0e-06  (58s)
epoch 120  loss=0.00030  in=37.233  enh=37.235  ΔY=+0.0003  ΔU=+0.0039  ΔV=+0.0193  lr=1.0e-06  (62s)
epoch 121  loss=0.00030  in=37.205  enh=37.208  ΔY=+0.0005  ΔU=+0.0062  ΔV=+0.0189  lr=1.0e-06  (61s)
epoch 122  loss=0.00029  in=37.118  enh=37.121  ΔY=-0.0000  ΔU=+0.0147  ΔV=+0.0164  lr=1.0e-06  (60s)
epoch 123  loss=0.00030  in=37.151  enh=37.155  ΔY=+0.0001  ΔU=+0.0123  ΔV=+0.0263  lr=1.0e-06  (62s)
epoch 124  loss=0.00030  in=37.105  enh=37.107  ΔY=+0.0004  ΔU=+0.0084  ΔV=+0.0145  lr=1.0e-06  (61s)
epoch 125  loss=0.00030  in=37.068  enh=37.070  ΔY=-0.0001  ΔU=+0.0048  ΔV=+0.0163  lr=1.0e-06  (62s)
epoch 126  loss=0.00030  in=37.096  enh=37.098  ΔY=+0.0005  ΔU=+0.0027  ΔV=+0.0134  lr=1.0e-06  (61s)
epoch 127  loss=0.00030  in=37.234  enh=37.236  ΔY=+0.0006  ΔU=+0.0093  ΔV=+0.0025  lr=1.0e-06  (61s)
